tweet_id,favorite_count,retweet_count
840728873075638272,0,15454
847617282490613760,6756,391
852226086759018497,19173,6490
853760880890318849,27284,5420
847157206088847362,19214,5590
843235543001513987,20907,5765
836989968035819520,12487,2235
844979544864018432,13241,2439
847978865427394560,0,3113
840696689258311684,11967,936
837471256429613056,12511,2188
842535590457499648,17643,3376
846874817362120707,19418,3747
838952994649550848,19199,3863
842163532590374912,23776,5554
847842811428974592,5236,1259
843604394117681152,16422,2622
848212111729840128,15752,2879
842765311967449089,6541,1214
841320156043304961,19291,5319
853299958564483072,14818,3350
841833993020538882,0,14450
837110210464448512,15696,2291
838201503651401729,0,9710
837820167694528512,33294,7601
840698636975636481,170,2
847251039262605312,19828,4125
838916489579200512,0,33
850145622816686080,15715,3598
839990271299457024,13113,2199
837482249356513284,3772,427
852936405516943360,0,1867
845397057150107648,7382,1709
849776966551130114,29250,7202
848213670039564288,7882,682
852912242202992640,8616,1699
852311364735569921,31738,9393
838083903487373313,17228,3015
849412302885593088,15300,2993
845306882940190720,22622,5150
844973813909606400,14591,3041
846042936437604353,15483,2737
839239871831150596,26457,6296
841680585030541313,25102,7547
838085839343206401,138,1
838831947270979586,0,10649
851591660324737024,15626,3284
851861385021730816,0,19
845098359547420673,0,7333
838150277551247360,1629,319
839290600511926273,0,139
845677943972139009,24429,4611
846153765933735936,30549,8639
849336543269576704,11009,1798
849668094696017920,0,4718
844580511645339650,15969,2981
846139713627017216,30066,9643
853639147608842240,33075,9400
850380195714523136,12622,2468
852189679701164033,11010,1503
848324959059550208,23855,4408
839549326359670784,26777,7488
841077006473256960,22269,5112
848690551926992896,24315,4123
854010172552949760,15501,2958
840761248237133825,0,1696
838476387338051585,21960,4594
843981021012017153,14752,2841
838921590096166913,10873,1970
850333567704068097,3327,310
850019790995546112,19650,4623
846505985330044928,13669,2934
846514051647705089,43126,11027
847606175596138505,18155,3271
847116187444137987,20774,3043
851464819735769094,23297,6701
847962785489326080,22729,4836
840268004936019968,18773,5531
841439858740625411,12297,3537
841314665196081154,15436,4472
851224888060895234,19888,5457
831315979191906304,6424,1094
831650051525054464,6992,1867
830173239259324417,0,5534
832088576586297345,61,2
832397543355072512,11775,2153
826204788643753985,4805,903
826240494070030336,13100,2557
